cellid,birthsAfter,birthsBefore,dIMR,dNL,imrAfter,imrBefore,lat,lon,nlAfter,nlBefore
142946,566.0,297.0,-26.138885498046875,0,88.33922576904297,114.47811126708984,9.25,12.75,1,1
142998,181.0,1110.0,-20.904884338378906,5,33.149169921875,54.054054260253906,9.25,38.75,9,4
143613,2586.0,3661.0,-25.075668334960938,1,54.137664794921875,79.21333312988281,9.75,-13.75,2,1
143654,186.0,168.0,-79.68509864807129,1,21.5053768157959,101.19047546386719,9.75,6.75,2,1
143666,140.0,103.0,-41.60887145996094,0,142.85714721679688,184.4660186767578,9.75,12.75,1,1
143668,867.0,715.0,-29.8416748046875,0,133.79469299316406,163.63636779785156,9.75,13.75,1,1
144379,466.0,294.0,-54.55314636230469,1,122.31759643554688,176.87074279785156,10.25,9.25,3,2
145096,268.0,130.0,-64.06428527832031,3,82.08955383300781,146.15383911132812,10.75,7.75,7,4
145816,826.0,449.0,-31.16961669921875,1,55.69007110595703,86.85968780517578,11.25,7.75,2,1
147254,1338.0,890.0,-39.572731018066406,0,109.86547088623047,149.43820190429688,12.25,6.75,1,1
147258,1434.0,903.0,-48.59209442138672,2,92.05020904541016,140.64230346679688,12.25,8.75,7,5
147271,132.0,116.0,-44.93207550048828,3,75.75757598876953,120.68965148925781,12.25,15.25,4,1
147944,2682.0,3155.0,-24.113094329833984,6,61.14839553833008,85.26148986816406,12.75,-8.25,8,2
147957,680.0,1388.0,-18.748939514160156,4,70.5882339477539,89.33717346191406,12.75,-1.75,6,2
148691,1842.0,1068.0,-49.945716857910156,0,116.72095489501953,166.6666717529297,13.25,5.25,2,2
148696,788.0,512.0,-27.50238037109375,0,156.09136962890625,183.59375,13.25,7.75,2,2
149367,176.0,198.0,-18.308082580566406,1,62.5,80.8080825805664,13.75,-16.75,2,1
150806,4469.0,4750.0,-16.483943939208984,4,45.20026779174805,61.68421173095703,14.75,-17.25,5,1
164586,712.0,1499.0,-22.36416244506836,2,46.34831619262695,68.71247863769531,24.25,32.75,5,3
165306,610.0,1143.0,-37.20436477661133,1,32.78688430786133,69.99124908447266,24.75,32.75,2,1
166026,293.0,650.0,-65.6760311126709,5,20.477815628051758,86.15384674072266,25.25,32.75,10,5
166746,875.0,1613.0,-51.8295955657959,12,26.285715103149414,78.11531066894531,25.75,32.75,20,8
167464,694.0,1344.0,-42.14912033081055,1,37.4639778137207,79.61309814453125,26.25,31.75,2,1
167465,1070.0,1988.0,-58.97910690307617,12,41.12149429321289,100.10060119628906,26.25,32.25,24,12
167466,369.0,789.0,-39.19750213623047,14,40.65040588378906,79.84790802001953,26.25,32.75,25,11
168184,798.0,1508.0,-32.400299072265625,14,43.859649658203125,76.25994873046875,26.75,31.75,26,12
168903,931.0,1996.0,-31.400074005126953,14,39.74221420288086,71.14228820800781,27.25,31.25,25,11
168908,114.0,174.0,-45.977012634277344,3,0.0,45.977012634277344,27.25,33.75,5,2
169622,1123.0,2002.0,-40.34833908081055,10,40.07123947143555,80.4195785522461,27.75,30.75,17,7
170342,982.0,1907.0,-38.38788986206055,15,38.696537017822266,77.08442687988281,28.25,30.75,23,8
